      Time   Sample #  Type  Sub Chan  Num	Aux
    0:08.339     3002     Q    0    0    0
    0:09.100     3276     N    0    0    0
    0:09.869     3553     N    0    0    0
    0:10.708     3855     N    0    0    0
    0:11.564     4163     N    0    0    0
    0:12.389     4460     N    0    0    0
    0:13.219     4759     N    0    0    0
    0:14.039     5054     N    0    0    0
    0:14.833     5340     N    0    0    0
    0:15.633     5628     N    0    0    0
    0:16.425     5913     N    0    0    0
    0:17.244     6208     N    0    0    0
    0:18.114     6521     N    0    0    0
    0:18.933     6816     N    0    0    0
    0:19.719     7099     N    0    0    0
    0:20.514     7385     N    0    0    0
    0:21.283     7662     N    0    0    0
    0:22.075     7947     N    0    0    0
    0:22.883     8238     N    0    0    0
    0:23.700     8532     N    0    0    0
    0:24.528     8830     N    0    0    0
    0:25.375     9135     N    0    0    0
    0:26.178     9424     N    0    0    0
    0:26.953     9703     N    0    0    0
    0:27.753     9991     N    0    0    0
    0:28.544    10276     N    0    0    0
    0:29.400    10584     N    0    0    0
    0:30.244    10888     N    0    0    0
    0:31.069    11185     N    0    0    0
    0:31.869    11473     N    0    0    0
    0:32.703    11773     N    0    0    0
    0:33.494    12058     N    0    0    0
    0:34.289    12344     N    0    0    0
    0:35.103    12637     N    0    0    0
    0:35.953    12943     N    0    0    0
    0:36.825    13257     N    0    0    0
    0:37.644    13552     N    0    0    0
    0:38.425    13833     N    0    0    0
    0:39.225    14121     N    0    0    0
    0:40.033    14412     N    0    0    0
    0:40.833    14700     N    0    0    0
    0:41.678    15004     N    0    0    0
    0:42.508    15303     N    0    0    0
    0:43.333    15600     N    0    0    0
    0:44.150    15894     N    0    0    0
    0:44.933    16176     N    0    0    0
    0:45.708    16455     N    0    0    0
    0:46.525    16749     N    0    0    0
    0:47.364    17051     N    0    0    0
    0:48.200    17352     N    0    0    0
    0:49.028    17650     N    0    0    0
    0:49.833    17940     N    0    0    0
    0:50.614    18221     N    0    0    0
    0:51.408    18507     N    0    0    0
    0:52.189    18788     N    0    0    0
    0:52.983    19074     N    0    0    0
    0:53.839    19382     N    0    0    0
    0:54.683    19686     N    0    0    0
    0:55.503    19981     N    0    0    0
    0:56.289    20264     N    0    0    0
    0:57.075    20547     N    0    0    0
    0:57.864    20831     N    0    0    0
    0:58.678    21124     N    0    0    0
    0:59.494    21418     N    0    0    0
    1:00.339    21722     N    0    0    0
    1:01.175    22023     N    0    0    0
    1:01.983    22314     N    0    0    0
